title,page,chunk_string
Enterprise-Analytics-Report-508-FINAL.pdf,1,FEDERAL CHIEF DATA OFFICERS (CDO) COUNCIL The Progress and Promise of Federal Enterprise Analytics November 2023 2 Contents Introduction ................................................................................................................................... 3 Historical and Current Challenges in Federal Enterprise Analytics ....................................... 5 Implementation of Enterprise-wide Analytics & Data Dashboards ........................................ 6 Agency Case Studies ................................................................................................................... 6 Government-wide Case Studies: Pandemic Response and Workforce Dashboards ................... 7 Aligning with the Agency Strategy and Performance Plan ...................................................... 9 Investing in Workforce Capabilities That Enable Usage of Data as a Strategic Asset ........ 10 Leveraging Technologies to Analyze and Visualize Data ........................................................ 12 Centralizing and Curating Data and Data Products for Access and use Across the Entire Agency ...................................................................................................................................... 13 The Role of the Chief Data Officer in Implementing Enterprise Analytics .......................... 17 Current Landscape..................................................................................................................... 17 Key Survey Findings ................................................................................................................. 17 Opportunities for Enterprise Analytics ..................................................................................... 18 Appendix: Agency Case Studies ................................................................................................ 19 Department of State ................................................................................................................... 19 United States Department of Agriculture ..................................................................................
Enterprise-Analytics-Report-508-FINAL.pdf,2,"18 Appendix: Agency Case Studies ................................................................................................ 19 Department of State ................................................................................................................... 19 United States Department of Agriculture .................................................................................. 24 3 Introduction Since 2020, Chief Data Officers (CDOs) have been developing and implementing agency data strategies and governance models that meet the requirements of the Evidence Act and the Federal Data Strategy. One of CDOs’ key statutory responsibilities is ensuring agencies maximize the use of data to produce evidence and improve agency operations. The Federal Chief Data Officers Council’s Playbook highlighted the opportunities and risks facing CDOs in government. The role of a federal CDO is increasingly crucial for enhancing an agency's data capabilities and delivering value to the organization and society. To fully realize their potential and avoid becoming a mere compliance function, CDOs first focused on finding opportunities to promote the sharing and access of data within their agencies. They worked to build critical relationships and to show value in the near term through “quick wins,” building data governance and master data management programs, which take longer to implement and demonstrate results, in parallel with key value delivery projects. In the next phase of agency data strategy implementations, federal CDOs are already working to make enterprise analytics a strategic focus of their agenda."
Enterprise-Analytics-Report-508-FINAL.pdf,3,"They worked to build critical relationships and to show value in the near term through “quick wins,” building data governance and master data management programs, which take longer to implement and demonstrate results, in parallel with key value delivery projects. In the next phase of agency data strategy implementations, federal CDOs are already working to make enterprise analytics a strategic focus of their agenda. In fact, nearly 50% of respondents to the annual Federal CDO Council Survey indicated they were the primary accountable official or had managerial responsibility for their agency enterprise analytics program. By embracing enterprise analytics, CDOs are leading the transition from being data managers to strategic enterprise value generators. Adopting an enterprise analytics program is a natural and necessary progression for CDOs who want to maximize their value to their agencies. Enterprise analytics programs allow CDOs to help their agencies leverage data as a strategic asset comprehensively, fulfilling both their roles as change agents and leaders. Enterprise analytics programs go beyond basic data collection and organization, serving as a comprehensive approach to deriving actionable insights that inform strategic decisions. These programs are supported by a set of cohesive and integrated strategies designed to enable agencies to holistically leverage data as a strategic asset to drive organizational health, performance, and mission outcomes. Additionally, these programs typically include enterprise tools for common mission support functions (e.g., human resources [HR], information technology"
Enterprise-Analytics-Report-508-FINAL.pdf,3,"Additionally, these programs typically include enterprise tools for common mission support functions (e.g., human resources [HR], information technology [IT], and finance) and integrate mission data across programs to answer key priority questions. Enterprise analytics programs can be implemented to solve several common strategic barriers to leveraging data to produce evidence at agencies across government. The barriers include: ● Lack of access to comprehensive, up-to-date, or actionable operational data in common functions like HR, IT, and finance. ● Lack of an enterprise view into agency data assets to answer common questions and duplication of effort across component areas and programs. ● Duplication of analytics infrastructure and tools, resulting in cost-inefficiencies and fragmented approaches to analytics. ● Cultural or technical challenges at agencies sharing insights outside of functional practitioner circles to inform enterprise and program decision-making. 4 Enterprise Analytics programs include all the following key components: ● Align with the agency strategy and performance plan. ● Invest in workforce capabilities that enable use of data as a strategic asset."
Enterprise-Analytics-Report-508-FINAL.pdf,4,"4 Enterprise Analytics programs include all the following key components: ● Align with the agency strategy and performance plan. ● Invest in workforce capabilities that enable use of data as a strategic asset. ● Leverage technologies to analyze and visualize data. ● Centralize and curate data and data products for access and use across the entire agency. This paper seeks to help agency CDOs implement these key components by applying lessons from agencies that have successfully implemented enterprise analytics programs since the passage of the Evidence Act. A companion paper, “The Data-Driven CDO,” addresses related challenges as well as several ways CDOs can measure the impact and value of their initiatives, including enterprise analytics programs, and proposes adopting a product management mentality in addition to an asset management mentality to help ensure alignment of data programs and initiatives to business and mission outcomes. 5 Historical and Current Challenges in Federal Enterprise Analytics Harnessing the potential of data to produce evidence has been a key goal for agencies, but several key barriers exist that agencies must solve systematically. Historically, a major issue has been siloed data systems. In most agencies, data was collected, managed, and analyzed in disparate systems across various bureaus and divisions closest to the programs that needed it. This made it difficult to aggregate, analyze, and leverage the agency’s holistic data assets."
Enterprise-Analytics-Report-508-FINAL.pdf,5,"In most agencies, data was collected, managed, and analyzed in disparate systems across various bureaus and divisions closest to the programs that needed it. This made it difficult to aggregate, analyze, and leverage the agency’s holistic data assets. This distributed approach also leads agencies to purchase or ingest key external data sources from other agencies or entities in highly duplicative and cost inefficient ways. Disconnected data also resulted in long response times to data inquiries and inhibited the ability to use data for strategic decision-making at an enterprise level while creating duplication in creating analytics tools to answer common questions. Overall, the lack of an enterprise approach to enterprise analytics has resulted in these common tendencies: ● Agencies generate and maintain data across large numbers of applications and data stores that could be made available to analysts and leadership to inform policy. However, today much of this data is not cataloged and is difficult for non-specialists to find and access. ● Where data is accessible, it is disconnected from other relevant data that would provide deeper insights if analyzed in tandem. ● Analytics products are also built multiple times—component agency by component agency or program by program—rather than answering cross-cutting questions. ● Reports and data calls are routinely generated manually across programs, resulting in redundant, low-value work across agencies. As a result, decisions are frequently made with outdated, inaccurate, and incomplete information."
Enterprise-Analytics-Report-508-FINAL.pdf,5,"● Reports and data calls are routinely generated manually across programs, resulting in redundant, low-value work across agencies. As a result, decisions are frequently made with outdated, inaccurate, and incomplete information. ● Within agencies, there is significant duplication of costs due to the use of many different data warehousing technologies and analytics tools. ● Furthermore, the use of many different data analytics tools creates a costly and fragmented user experience for agency decision makers who need holistic management insights. Even when agencies have managed to overcome these challenges and successfully implement sophisticated data analytics systems, they often face another significant hurdle: creating a culture that values and effectively uses the insights these systems provide. In many cases, having a mindset that is reluctant to change entrenched ways of working can act as a barrier to the adoption of a data-driven decision-making approach. Without buy-in at all levels of the organization, the full potential of these analytics systems cannot be realized. 6 Implementation of Enterprise-wide Analytics & Data Dashboards Agency Case Studies The application of enterprise analytics is changing how federal agencies who have implemented these principles will operate, enabling them to make better-informed decisions, improve service delivery, and optimize resources. This section discusses the successful implementation of these initiatives in two significant federal agencies: the U.S. Department of Agriculture (USDA) and the Department of State. The USDA, a sprawling agency with a vast array of responsibilities, faced significant data management challenges due to fragmented data sources."
Enterprise-Analytics-Report-508-FINAL.pdf,6,"This section discusses the successful implementation of these initiatives in two significant federal agencies: the U.S. Department of Agriculture (USDA) and the Department of State. The USDA, a sprawling agency with a vast array of responsibilities, faced significant data management challenges due to fragmented data sources. Simple inquiries often took weeks due to data being sequestered in unconnected silos. To address this issue, USDA adopted an enterprise analytics approach. A CDO was appointed and the Enterprise Data Analytics Platform and Tools (EDAPT) were developed, providing a unified platform for over 150 internal and external data sources. The transformative power of EDAPT was particularly evident during the COVID-19 pandemic when it was leveraged to quickly develop a dashboard providing crucial data for managing the agency's expansive workforce. This initiative, alongside a comprehensive strategy fostering a data-driven culture and collaboration, exemplifies the successful implementation of enterprise analytics. Similarly, the Department of State, with its extensive global operations, faced challenges in accessing and analyzing data in a timely, centralized manner. In response, the Department made Data-Informed Diplomacy an Agency Priority Goal (APG) and appointed a CDO to oversee its implementation. As part of their enterprise analytics initiative, the Department of State devised an Enterprise Data Strategy (EDS), backed by an Enterprise Data Council (EDC)."
Enterprise-Analytics-Report-508-FINAL.pdf,6,"In response, the Department made Data-Informed Diplomacy an Agency Priority Goal (APG) and appointed a CDO to oversee its implementation. As part of their enterprise analytics initiative, the Department of State devised an Enterprise Data Strategy (EDS), backed by an Enterprise Data Council (EDC). The strategy included hiring data scientists, implementing comprehensive data literacy training, and launching focused data campaigns addressing critical areas such as cybersecurity and climate change. Moreover, the Department of State established a common data infrastructure facilitating data sharing and providing data management services. This cross-functional collaboration between the CDO and the Chief Information Officer (CIO) led to effective technological solutions for data creation, storage, protection, and sharing. Department-wide data training events reached over 6,500 employees, and the development of new analytical tools provided valuable insights into complex, enterprise-wide challenges. These case studies from USDA and the Department of State exemplify the transformative power of enterprise analytics in federal agencies. By leveraging centralized data systems, fostering a data-driven culture, and emphasizing collaboration and data literacy, agencies can drive their operations towards increased efficiency, informed decision-making, and improved service delivery. 7 Government-wide Case Studies: Pandemic Response and Workforce Dashboards When the COVID-19 pandemic began to impact the United States in January 2020, the Chief Data Officer Council met for the first time. By April, the significant threats to the nation posed by the pandemic were clear, and agency demands for data and decision support tools were at an all-time high."
Enterprise-Analytics-Report-508-FINAL.pdf,7,"7 Government-wide Case Studies: Pandemic Response and Workforce Dashboards When the COVID-19 pandemic began to impact the United States in January 2020, the Chief Data Officer Council met for the first time. By April, the significant threats to the nation posed by the pandemic were clear, and agency demands for data and decision support tools were at an all-time high. In response, the CDO Council quickly established its very first working group focused on COVID-19 data. The working group set out to identify the key questions agencies had as well as the data and tools needed to support agency response efforts. The working group found that data existed to answer federal agencies’ questions about public health, workforce safety, and continuity of operations. However, the working group also found that Federal leaders and staff on the ground experienced significant challenges accessing that data, inhibiting their efforts to build dashboards and other tools needed for analysis and decision-making. To support this need, the working group collaborated across agency lines to ensure public health data held by the Centers for Disease Control and the Department of Health and Human Services was more readily available for federal agency use. The working group created and shared domestic and international COVID-19 analytics dashboards across federal agencies while developing guidance that supported consistent use of the data. The working group also captured valuable lessons learned and identified gaps that informed its future thinking about how best to enable decision support on common or urgent issues across multiple federal agencies. Through this effort, the CDO Council recognized an opportunity to analyze how sharing decision-support tools across agencies could offer significant value."
